layer,head,gain_entropy,gain_max_attn,r_squared_entropy,r_squared_max_attn,is_monotonic_entropy,is_monotonic_max_attn,baseline_entropy,baseline_max_attn,abs_gain_max_attn,gain_category
20,31,-3.3787171956509012,0.6201953426914804,0.9771971011953056,0.9871359478801747,True,True,2.8793256282806396,0.5098743438720703,0.6201953426914804,medium
21,0,-2.345140919807804,0.4025167411970005,0.9510743385841175,0.9566443511453487,True,True,3.791987657546997,0.2801913321018219,0.4025167411970005,medium
21,1,-3.7485521256024645,0.6829315537851088,0.983800081709369,0.9903554572306625,True,True,2.439479351043701,0.5857482552528381,0.6829315537851088,medium
21,2,-3.7131076654955364,0.645479353921581,0.9920235715695602,0.9927854121373425,True,True,1.7926126718521118,0.6512467861175537,0.645479353921581,medium
21,3,-3.014514364726799,0.5418142212101735,0.9543197593252799,0.961599194482101,True,True,3.3796799182891846,0.3758139908313751,0.5418142212101735,medium
21,4,-1.3102668461441624,0.237735511646387,0.906759142298354,0.9132168385612379,True,True,4.561351776123047,0.14722706377506256,0.237735511646387,medium
21,5,-1.1738033138574706,0.18422434159552195,0.9225868260408623,0.927971658581005,True,True,4.588565349578857,0.1245713159441948,0.18422434159552195,medium
21,6,-0.9628634079508264,0.15924697392632906,0.9104229834162895,0.9099633227825762,True,True,4.725203037261963,0.1044822409749031,0.15924697392632906,low
21,7,-1.6907530514330456,0.3486423647993532,0.8654678353287172,0.8979318957624505,True,True,4.545973777770996,0.19117505848407745,0.3486423647993532,medium
21,8,-2.4780503541870496,0.43806728011486445,0.9498581431137704,0.9473808786494133,True,True,3.6881237030029297,0.2878069281578064,0.43806728011486445,medium
21,9,-1.367233353707183,0.23639558904798622,0.9162418602578696,0.9193599148822621,True,True,4.491929531097412,0.1489044725894928,0.23639558904798622,medium
21,10,-0.6942768436703316,0.07837781672488361,0.9253293050221465,0.9086195710194335,True,True,4.8417510986328125,0.059015341103076935,0.07837781672488361,low
21,11,-3.7116376655663914,0.668878966776313,0.9919631775913094,0.994260586498909,True,True,2.1309702396392822,0.6321819424629211,0.668878966776313,medium
21,12,-2.905017155909482,0.5277741224105247,0.9633030675472399,0.9759126499268195,True,True,3.3613224029541016,0.4013357162475586,0.5277741224105247,medium
21,13,-3.196164171964527,0.5920503581641108,0.962377045174998,0.9741010036779539,True,True,3.191199541091919,0.43843963742256165,0.5920503581641108,medium
21,14,-2.6425240562572276,0.4742026641825769,0.9495802090020562,0.9587794159578777,True,True,3.6367013454437256,0.3254922032356262,0.4742026641825769,medium
21,15,-2.4957803925692663,0.4489734715042277,0.9470479855660212,0.9599153130426639,True,True,3.7391719818115234,0.31362488865852356,0.4489734715042277,medium
21,16,-4.197260898997227,0.768504326585749,0.9709715111143847,0.9847918884716682,True,True,2.4949381351470947,0.6185747981071472,0.768504326585749,high
21,17,-3.0967502714906536,0.606592774145615,0.9282385628004013,0.9538646333219013,True,True,3.6443169116973877,0.3899822533130646,0.606592774145615,medium
21,18,-4.095041188373548,0.7488403031773405,0.9720652510243334,0.9847663917572907,True,True,2.5426101684570312,0.5981943011283875,0.7488403031773405,high
21,19,-1.2849005143556804,0.22002107709204194,0.9460591721664098,0.957258925873705,True,True,4.454849720001221,0.1620158702135086,0.22002107709204194,medium
21,20,-3.984014280582999,0.6956700411011962,0.9883930155061541,0.9865034539651328,True,True,1.5609252452850342,0.7343012690544128,0.6956700411011962,medium
21,21,-4.093903034424689,0.6965459753702928,0.9700034147489685,0.9568912674784686,True,True,0.9618186354637146,0.8592256307601929,0.6965459753702928,medium
21,22,-3.98433944775733,0.6803961409094945,0.9713549252890076,0.9608631582918745,True,True,0.9988715648651123,0.847053050994873,0.6803961409094945,medium
21,23,-4.081931643871871,0.7369164886436269,0.9815137005467871,0.989053236539546,True,True,2.261427164077759,0.6372953653335571,0.7369164886436269,high
21,24,-2.7143316999224503,0.47798735704058415,0.9559671767365022,0.9620074023652864,True,True,3.5312983989715576,0.3346834182739258,0.47798735704058415,medium
21,25,-3.5000003941264706,0.6347190965014977,0.9781054506638694,0.9867613142484921,True,True,2.769749641418457,0.5182507038116455,0.6347190965014977,medium
21,26,-2.6705343288375514,0.4677915729314262,0.9627102431376757,0.9677068350523977,True,True,3.478844404220581,0.3411622941493988,0.4677915729314262,medium
21,27,-3.355465688814462,0.6166200110275156,0.9561884194293288,0.9682200308598813,True,True,3.1911561489105225,0.43516960740089417,0.6166200110275156,medium
21,28,-4.065164355855108,0.6946930618208711,0.9742066292191331,0.9629811159351112,True,True,1.0392227172851562,0.8452938199043274,0.6946930618208711,medium
21,29,-3.9511503601303968,0.6733552434356841,0.9673057248659683,0.9540015903637956,True,True,0.9069890975952148,0.8653320074081421,0.6733552434356841,medium
21,30,-3.99415082105543,0.6945212643103037,0.9834244080028298,0.977096010252652,True,True,1.2820154428482056,0.7962313890457153,0.6945212643103037,medium
21,31,-3.8950437345773037,0.682887040294462,0.9877945467120459,0.9833495881134693,True,True,1.4031982421875,0.7725808620452881,0.682887040294462,medium
22,0,-3.9598323728962677,0.6838020893596786,0.9790483198657507,0.9694872237389935,True,True,1.1374468803405762,0.8261252045631409,0.6838020893596786,medium
22,1,-3.9438265884996384,0.6757721780556993,0.9766900701375248,0.9661592075247338,True,True,1.09147047996521,0.833207905292511,0.6757721780556993,medium
22,2,-3.9874940305418796,0.696441898160017,0.9832845033345928,0.9750654169943486,True,True,1.2286134958267212,0.8148106932640076,0.696441898160017,medium
22,3,-3.615198838756586,0.6402136413388281,0.9922966157269661,0.9953287934485385,True,True,2.2395856380462646,0.6029158234596252,0.6402136413388281,medium
22,4,-3.380979178910783,0.6364252328965412,0.9536756887096827,0.9755015731382883,True,True,3.2724533081054688,0.4657575786113739,0.6364252328965412,medium
22,5,-3.9563396584429156,0.6811983112649781,0.9887774427353303,0.9880323351572811,True,True,1.805983304977417,0.6890242099761963,0.6811983112649781,medium
22,6,-3.7775749520291786,0.6511574428542536,0.988260300094752,0.992431134251099,True,True,2.2659599781036377,0.6012624502182007,0.6511574428542536,medium
22,7,-3.3834012619149627,0.6039862996459137,0.9732611961333484,0.9862850489962353,True,True,2.956887722015381,0.49259892106056213,0.6039862996459137,medium
22,8,-3.0719652636178725,0.5424988409611676,0.98094297261465,0.9860535598527093,True,True,2.9641811847686768,0.4458138644695282,0.5424988409611676,medium
22,9,-2.278520997584269,0.40290508781092893,0.9331163351606893,0.9358561273718878,True,True,3.940319776535034,0.25434815883636475,0.40290508781092893,medium
22,10,-2.4762627729082016,0.41371770429963184,0.9683953445342238,0.9726473585693967,True,True,3.530351400375366,0.31683123111724854,0.41371770429963184,medium
22,11,-2.252173994789318,0.3905447149903038,0.941944745671721,0.9479169293692611,True,True,3.907113552093506,0.2602929472923279,0.3905447149903038,medium
22,12,-3.932988140267276,0.6836246890312239,0.9781565238078127,0.9693424357521017,True,True,1.154181718826294,0.8116155862808228,0.6836246890312239,medium
22,13,-3.7656436387721093,0.6539726749295921,0.9870618647673234,0.9832220641224636,True,True,1.476122498512268,0.7334416508674622,0.6539726749295921,medium
22,14,-3.844082842595875,0.6721643243928478,0.9879414553029028,0.9844207055156508,True,True,1.5477601289749146,0.7280594110488892,0.6721643243928478,medium
22,15,-3.915529983343136,0.6789446985276617,0.9777220681097909,0.9687953092625742,True,True,1.165602684020996,0.8117728233337402,0.6789446985276617,medium
22,16,-1.3484915067265748,0.2461397996995188,0.9069621916978821,0.9134761721645962,True,True,4.5400567054748535,0.15172922611236572,0.2461397996995188,medium
22,17,-2.1473977126775594,0.40604742593750937,0.9173846215900651,0.9356237686549499,True,True,4.112837314605713,0.2573270797729492,0.40604742593750937,medium
22,18,-1.8123775874134376,0.3763374005196404,0.8823635098617002,0.902882031495151,True,True,4.419302940368652,0.209490105509758,0.3763374005196404,medium
22,19,-1.2778468304998878,0.21744862548647892,0.9103424914484627,0.903579942424519,True,True,4.556332111358643,0.1313222050666809,0.21744862548647892,medium
22,20,-4.444021729624917,0.7639155508933454,0.9793902303859784,0.971112176795154,True,True,1.295116662979126,0.8249267339706421,0.7639155508933454,high
22,21,-4.391805447453806,0.7862212043081537,0.9790634115493232,0.9864074640236675,True,True,2.0599069595336914,0.7047645449638367,0.7862212043081537,high
22,22,-4.2801266222642225,0.7773411264290707,0.971044631023771,0.9851677911392895,True,True,2.4158554077148438,0.6435495615005493,0.7773411264290707,high
22,23,-4.111494164502753,0.7284453259316833,0.9894530123159779,0.9877530799873632,True,True,1.6564379930496216,0.7449008226394653,0.7284453259316833,medium
22,24,-2.47076455981256,0.4758097149069408,0.9166898131739426,0.9344403347925133,True,True,3.969296455383301,0.29093724489212036,0.4758097149069408,medium
22,25,-3.5011021592957845,0.6705566671134066,0.9415391450135631,0.9625809281656421,True,True,3.2932300567626953,0.4541740119457245,0.6705566671134066,medium
22,26,-4.308829900347841,0.7720320045842838,0.9834592394051489,0.9868614281774503,True,True,1.9058853387832642,0.7126259207725525,0.7720320045842838,high
22,27,-2.4798369231241852,0.430711278107392,0.9619532133624576,0.9672195362447955,True,True,3.601918935775757,0.31524956226348877,0.430711278107392,medium
22,28,-3.88506833261637,0.6807311076160719,0.9909564948706424,0.9902399118718549,True,True,1.84636652469635,0.6964319348335266,0.6807311076160719,medium
22,29,-3.843793278336635,0.6733646393626783,0.9912174414402394,0.9903335441469783,True,True,1.8593182563781738,0.6897627115249634,0.6733646393626783,medium
22,30,-3.2263314675309127,0.5514693763466307,0.9840592474088823,0.9887406272239797,True,True,2.8146567344665527,0.4657386839389801,0.5514693763466307,medium
22,31,-3.9350062576876166,0.676985235091473,0.9773935141935549,0.9657956408713162,True,True,1.1264762878417969,0.8298330307006836,0.676985235091473,medium
23,0,-3.5736156966462147,0.6793126077369351,0.9583892886389668,0.9768253604818385,True,True,3.0820059776306152,0.5023813247680664,0.6793126077369351,medium
23,1,-3.7727370345573545,0.6939088197846293,0.9648509512831839,0.9823257677106857,True,True,2.873579263687134,0.5415722131729126,0.6939088197846293,medium
23,2,-4.404678927961244,0.7952011632218375,0.9756772314866425,0.9847105677416477,True,True,2.168341636657715,0.6757948994636536,0.7952011632218375,high
23,3,-4.373217842337755,0.7765793489617747,0.9819584792171288,0.9859022762308184,True,True,1.9335660934448242,0.7109277844429016,0.7765793489617747,high
23,4,-3.2890148977252855,0.5554978514314374,0.9924935236533542,0.9919771523952235,True,True,2.456465005874634,0.4911666512489319,0.5554978514314374,medium
23,5,-4.0958084731044835,0.717822465088325,0.9846385969538944,0.9786610427627219,True,True,1.347115159034729,0.7912956476211548,0.717822465088325,medium
23,6,-3.948473346015809,0.7093643191015722,0.9899251052186057,0.9894613161572731,True,True,1.708281397819519,0.7082622647285461,0.7093643191015722,medium
23,7,-4.007775085545951,0.7061561840605499,0.9891227021207041,0.99161903718464,True,True,1.9494884014129639,0.6707919239997864,0.7061561840605499,medium
23,8,-1.6330457929493636,0.24128084144337683,0.9607907183537107,0.9665302013887257,True,True,4.150660991668701,0.18798740208148956,0.24128084144337683,medium
23,9,-3.6642468547055063,0.6813930066991377,0.9741535583137779,0.986752986200019,True,True,2.775636672973633,0.5492315292358398,0.6813930066991377,medium
23,10,-4.213457810937667,0.7586449450833106,0.9806936166626791,0.9888064227986831,True,True,2.2243411540985107,0.6614907383918762,0.7586449450833106,high
23,11,-3.2187597784298854,0.6174449874602908,0.9461734842648571,0.9632439712632118,True,True,3.376660108566284,0.4243757128715515,0.6174449874602908,medium
23,12,-4.009624116182873,0.687019409752356,0.9743496716058788,0.9610472233709018,True,True,1.0301038026809692,0.8515926599502563,0.687019409752356,medium
23,13,-3.9965902922625,0.6893978445487281,0.9744246121070116,0.962985109948362,True,True,1.0432965755462646,0.8429232835769653,0.6893978445487281,medium
23,14,-4.115260768447441,0.7081736134105803,0.9771020582396457,0.9655896079456023,True,True,1.1146886348724365,0.8350384831428528,0.7081736134105803,medium
